run_id,config,experiment_name,peers,honest,adversarial,target_batch_size,target_group_size,min_group_size,final_round,honest_eval_loss,honest_eval_loss_sd,honest_eval_accuracy,honest_eval_accuracy_sd,honest_max_class_fraction,adversarial_eval_loss,adversarial_eval_accuracy,averaging_success_rate,honest_averaging_success_rate,mean_group_size,group_sizes,top_fallback_reason,total_samples,honest_samples,min_peer_samples,max_peer_samples,nodes_started,distinct_fingerprints,node_errors
run-20260924-000318-2430b5,group5-malicious-00.yaml,run-20260924-000318-2430b5,10,10,0,1280,5,5,20,0.572316,0.001075,0.88916,0.006434,0.300049,,,1.0,1.0,5,5,,28480,28480,2816,2880,10,1,0
run-20260924-000501-a8cb62,group5-malicious-02.yaml,run-20260924-000501-a8cb62,10,8,2,1280,5,5,20,0.794396,0.000541,0.803345,0.015529,0.328003,0.794396,0.803345,1.0,1.0,5,5,,28320,22592,2784,2880,10,1,0
run-20260924-000643-736fe2,group5-malicious-04.yaml,run-20260924-000643-736fe2,10,6,4,1280,5,5,20,1.248796,0.374072,0.478231,0.379026,0.523275,1.272819,0.465637,1.0,1.0,5,5,,28416,16992,2816,2880,10,1,0
run-20260924-000826-3edce3,group5-malicious-06.yaml,run-20260924-000826-3edce3,10,4,6,1280,5,5,20,1.892566,0.007418,0.041199,0.001574,0.533569,1.9411,0.036865,1.0,1.0,5,5,,29568,11808,2880,3040,10,1,0
