run_id,config,round,node_id,node_type,eval_loss,eval_accuracy,max_class_fraction
run-20260923-234302-37300c,ratio-00.yaml,0,normal-0,normal,1.4023325443267822,0.245849609375,0.3984375
run-20260923-234302-37300c,ratio-00.yaml,0,normal-1,normal,1.4023325443267822,0.245849609375,0.3984375
run-20260923-234302-37300c,ratio-00.yaml,0,normal-2,normal,1.4023325443267822,0.245849609375,0.3984375
run-20260923-234302-37300c,ratio-00.yaml,0,normal-3,normal,1.4023325443267822,0.245849609375,0.3984375
run-20260923-234302-37300c,ratio-00.yaml,0,normal-4,normal,1.4023325443267822,0.245849609375,0.3984375
run-20260923-234302-37300c,ratio-00.yaml,0,normal-5,normal,1.4023325443267822,0.245849609375,0.3984375
run-20260923-234302-37300c,ratio-00.yaml,0,normal-6,normal,1.4023325443267822,0.245849609375,0.3984375
run-20260923-234302-37300c,ratio-00.yaml,0,normal-7,normal,1.4023325443267822,0.245849609375,0.3984375
run-20260923-234302-37300c,ratio-00.yaml,0,normal-8,normal,1.4023325443267822,0.245849609375,0.3984375
run-20260923-234302-37300c,ratio-00.yaml,0,normal-9,normal,1.4023325443267822,0.245849609375,0.3984375
run-20260923-234302-37300c,ratio-00.yaml,1,normal-0,normal,1.3873883485794067,0.2509765625,0.41748046875
run-20260923-234302-37300c,ratio-00.yaml,1,normal-1,normal,1.3873883485794067,0.2509765625,0.41748046875
run-20260923-234302-37300c,ratio-00.yaml,1,normal-2,normal,1.3873883485794067,0.2509765625,0.41748046875
run-20260923-234302-37300c,ratio-00.yaml,1,normal-3,normal,1.3873883485794067,0.2509765625,0.41748046875
run-20260923-234302-37300c,ratio-00.yaml,1,normal-4,normal,1.3873883485794067,0.2509765625,0.41748046875
run-20260923-234302-37300c,ratio-00.yaml,1,normal-5,normal,1.3873883485794067,0.2509765625,0.41748046875
run-20260923-234302-37300c,ratio-00.yaml,1,normal-6,normal,1.3873883485794067,0.2509765625,0.41748046875
run-20260923-234302-37300c,ratio-00.yaml,1,normal-7,normal,1.3873883485794067,0.2509765625,0.41748046875
run-20260923-234302-37300c,ratio-00.yaml,1,normal-8,normal,1.3873883485794067,0.2509765625,0.41748046875
run-20260923-234302-37300c,ratio-00.yaml,1,normal-9,normal,1.3873883485794067,0.2509765625,0.41748046875
run-20260923-234302-37300c,ratio-00.yaml,2,normal-0,normal,1.3603016138076782,0.26123046875,0.440185546875
run-20260923-234302-37300c,ratio-00.yaml,2,normal-1,normal,1.3603016138076782,0.26123046875,0.440185546875
run-20260923-234302-37300c,ratio-00.yaml,2,normal-2,normal,1.3603016138076782,0.26123046875,0.440185546875
run-20260923-234302-37300c,ratio-00.yaml,2,normal-3,normal,1.3603016138076782,0.26123046875,0.440185546875
run-20260923-234302-37300c,ratio-00.yaml,2,normal-4,normal,1.3603016138076782,0.26123046875,0.440185546875
